                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     50,                0.76198,                0.61753,                 1.0905,                 0.9075,                0.85051,                 0.9277,                0.71724,                0.89487,                0.53287,                 1.1269,             0.00029723,             0.00029723,             0.00029723
                     51,                0.70954,                0.49221,                 1.0561,                0.90243,                0.86191,                0.92804,                0.71566,                 0.9002,                0.53388,                 1.1333,             0.00027365,             0.00027365,             0.00027365
                     52,                 0.7002,                0.47278,                  1.053,                0.89678,                0.86469,                0.92876,                0.71794,                0.89088,                0.53176,                 1.1249,             0.00025007,             0.00025007,             0.00025007
                     53,                0.69103,                0.45358,                 1.0459,                0.90456,                0.85978,                0.92787,                0.71854,                 0.8886,                0.52937,                  1.126,              0.0002265,              0.0002265,              0.0002265
                     54,                0.68256,                0.45009,                 1.0405,                0.89681,                0.86991,                0.92965,                0.72251,                0.88116,                  0.521,                 1.1221,             0.00020292,             0.00020292,             0.00020292
                     55,                0.67082,                0.43508,                 1.0318,                0.89888,                0.86875,                0.92936,                0.72518,                0.88083,                0.51857,                 1.1213,             0.00017934,             0.00017934,             0.00017934
                     56,                0.66484,                0.43015,                 1.0315,                0.91109,                0.86315,                0.92993,                0.72563,                  0.879,                 0.5181,                 1.1195,             0.00015576,             0.00015576,             0.00015576
                     57,                0.65468,                   0.42,                 1.0202,                0.90011,                0.87226,                0.92942,                0.72581,                0.87669,                0.51557,                 1.1183,             0.00013218,             0.00013218,             0.00013218
                     58,                0.65057,                0.41276,                 1.0187,                0.89833,                0.87167,                0.93046,                 0.7291,                0.87289,                0.51102,                 1.1154,              0.0001086,              0.0001086,              0.0001086
                     59,                0.63973,                0.40574,                 1.0126,                0.90777,                0.86613,                0.93185,                0.73254,                0.86996,                0.50742,                 1.1155,             8.5026e-05,             8.5026e-05,             8.5026e-05
                     60,                0.63165,                0.39858,                 1.0065,                0.91572,                0.86297,                0.93296,                0.73307,                0.87313,                0.50851,                 1.1191,             6.1447e-05,             6.1447e-05,             6.1447e-05
